Latitude_dd,Longitude_dd,normalized_pressure,phaseNb,Diagnostic
-20.973526667,-68.695721667,2626.0817317880255,5.0,2. PLEIN (Normal)
-20.97436,-68.695455,2624.657872434251,5.0,2. PLEIN (Normal)
-20.975165,-68.695191667,2623.738019916314,5.0,2. PLEIN (Normal)
-20.975045,-68.694901667,2624.273301915762,5.0,2. PLEIN (Normal)
-20.97405,-68.69511,2624.809251832346,5.0,2. PLEIN (Normal)
-20.973191667,-68.695251667,2625.0594451783354,5.0,2. PLEIN (Normal)
-20.972363333,-68.695356667,2625.2630021043433,5.0,2. PLEIN (Normal)
-20.971468333,-68.695503333,2625.2212658431836,5.0,2. PLEIN (Normal)
-20.970648333,-68.695666667,2624.8902873386705,5.0,2. PLEIN (Normal)
-20.9697,-68.69587,2624.711724218693,5.0,2. PLEIN (Normal)
-20.969178333,-68.696431667,2627.0210240149,5.0,2. PLEIN (Normal)
-20.968586667,-68.697098333,2629.3291350077175,5.0,2. PLEIN (Normal)
-20.966978333,-68.698653333,2630.153890947458,5.0,2. PLEIN (Normal)
