Latitude,Longitude,Cluster_ID,Trajet_Index,Vitesse_kmh,Charge_Norm,Description
-20.978201667,-68.689636667,Cluster 1 (BLEU),57,10.0,2613.32,Trajet 57 | État: Chargé. Identifié par IA.
-20.960596667,-68.69548,Cluster 1 (BLEU),57,30.4,2613.62,Trajet 57 | État: Chargé. Identifié par IA.
-20.949215,-68.709868333,Cluster 1 (BLEU),57,0.2,2608.63,Trajet 57 | État: Chargé. Identifié par IA.
-20.949215,-68.709868333,Cluster 1 (BLEU),58,0.2,2606.97,Trajet 58 | État: Vide. Identifié par IA.
-20.969736667,-68.689346667,Cluster 1 (BLEU),58,50.2,2593.28,Trajet 58 | État: Vide. Identifié par IA.
-20.978073333,-68.689473333,Cluster 1 (BLEU),58,1.7,2622.86,Trajet 58 | État: Vide. Identifié par IA.
-20.978206667,-68.689563333,Cluster 1 (BLEU),59,9.6,2623.58,Trajet 59 | État: Chargé. Identifié par IA.
-20.960025,-68.69682,Cluster 1 (BLEU),59,24.1,2614.82,Trajet 59 | État: Chargé. Identifié par IA.
-20.949078333,-68.709768333,Cluster 1 (BLEU),59,5.6,2602.19,Trajet 59 | État: Chargé. Identifié par IA.
-20.94905,-68.709895,Cluster 1 (BLEU),60,11.9,2601.85,Trajet 60 | État: Vide. Identifié par IA.
-20.98145,-68.690958333,Cluster 1 (BLEU),60,0.0,2567.35,Trajet 60 | État: Vide. Identifié par IA.
-20.97786,-68.689428333,Cluster 1 (BLEU),60,1.7,2578.06,Trajet 60 | État: Vide. Identifié par IA.
-20.977971667,-68.68953,Cluster 1 (BLEU),61,9.1,2578.27,Trajet 61 | État: Chargé. Identifié par IA.
-20.977595,-68.681445,Cluster 1 (BLEU),61,20.7,2587.56,Trajet 61 | État: Chargé. Identifié par IA.
-20.949208333,-68.709765,Cluster 1 (BLEU),61,2.0,2573.69,Trajet 61 | État: Chargé. Identifié par IA.
-20.949161667,-68.709858333,Cluster 1 (BLEU),62,9.8,2573.06,Trajet 62 | État: Vide. Identifié par IA.
